,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TMED10,542.077897,-0.493127834,0.590095621,-0.835674452,0.403338072,0.810699261
CNOT2,262.8198901,-0.782036335,0.625190416,-1.250877037,0.210979343,0.655289916
PKP4,1125.721618,-0.795717558,0.284206671,-2.799784944,0.005113666,0.099984832
SYPL1,145.9819342,-0.622304107,0.82602417,-0.753372757,0.451225949,0.839391388
CAPN2,1315.389106,-0.56321154,0.287474809,-1.959168325,0.050093077,0.363690475
PDCD7,654.0995326,1.372999213,0.398014407,3.449621891,0.000561372,0.022171958
SLC35F5,460.0999079,-0.265323053,0.591424361,-0.448617051,0.653707931,0.916543544
FLI1,777.3625365,2.491389745,0.477331236,5.219414856,1.79E-07,2.39E-05
AHCYL1,755.9887661,-0.789987361,0.299491394,-2.637763147,0.008345485,0.13717408
DICER1,1094.402984,-0.382364692,0.292222986,-1.308468908,0.190714314,0.631392617
SNORA38B,1773.616502,7.733974178,0.828476518,9.335176084,1.01E-20,2.08E-17
ZCCHC11,511.6058235,-0.250214719,0.388166521,-0.644606645,0.519182128,0.867331178
PLEKHA4,1643.449193,1.603244464,0.388452035,4.127264934,3.67E-05,0.002543704
BOD1L1,2306.441142,-0.887315756,0.261737242,-3.390101261,0.000698668,0.025409388
SMARCA2,1768.138455,-0.748202168,0.271420492,-2.756616356,0.005840283,0.109217716
IQCE,1253.001451,0.614284363,0.3921694,1.566375049,0.117260841,0.524975534
VEGFA,4139.061066,0.609885935,0.410951225,1.484083507,0.137786768,0.561851683
HERC3,362.6161306,-0.832319942,0.42094677,-1.977256988,0.048012589,0.355085452
CWF19L2,422.5525811,-1.046801942,0.420558891,-2.489073381,0.012807653,0.175399117
IARS,395.9564588,-1.036990875,0.522057482,-1.986353822,0.04699405,0.350732617
C5orf24,175.307922,-0.7368776,0.567788026,-1.29780405,0.194354678,0.635134234
CXXC1,1125.34895,1.136450266,0.324334985,3.503939815,0.000458429,0.019139651
PTPRB,619.8235898,-1.494296717,0.471945131,-3.166250944,0.001544175,0.044226561
ZHX3,698.4266239,-0.977733965,0.349930057,-2.794083978,0.005204696,0.101349669
EPG5,534.3081429,-0.828328978,0.300653255,-2.755097326,0.005867468,0.109531568
TBC1D10B,1056.142077,1.384742305,0.40806361,3.393447175,0.000690189,0.025240456
ZNF808,194.1866389,-0.789367765,0.788680507,-1.000871402,0.316888984,0.749784314
TUBGCP2,1097.13488,0.744728476,0.375817225,1.981624116,0.047521326,0.353037126
SNORA55,1874.332897,5.1071892,0.659612654,7.742709562,9.73E-15,5.65E-12
ANO9,231.2797907,1.245498638,0.494667188,2.517851736,0.011807301,0.167628025
PSAP,2590.308285,-0.743053393,0.418418863,-1.775860172,0.075755967,0.439743865
SCARNA6,1018.964801,2.712848996,0.521283413,5.204172873,1.95E-07,2.58E-05
PPP1R12C,1367.252163,0.616293038,0.342492971,1.79943266,0.071950267,0.42823203
COMMD8,37.26272214,-1.132859912,1.117300611,-1.013925797,0.310618161,0.744699216
CRNKL1,312.6864166,-0.966180407,0.504212777,-1.916215634,0.055337654,0.381833681
PAPOLA,554.1586061,-0.425660195,0.378068108,-1.125882309,0.260215338,0.702698604
VPS13D,1992.842981,-0.765732595,0.297495067,-2.573933756,0.010054952,0.153213887
KLHDC2,199.3584158,-0.662455072,0.548395146,-1.207988575,0.227051657,0.670212721
GFM1,213.5589629,-0.934632502,0.825326612,-1.132439556,0.257449683,0.701104665
SDC4,731.4838613,-0.64132873,0.551769842,-1.162312038,0.245108738,0.688446569
ZBED5,118.2573973,-0.543909209,0.953293833,-0.570557775,0.568299448,0.889188684
WNK1,2276.33317,-0.806840073,0.334927723,-2.408997579,0.015996404,0.19694326
IGF2R,1647.727094,-0.717134536,0.257049129,-2.789873439,0.005272865,0.102107226
ACSL1,827.9279305,-1.015486547,0.458624204,-2.214201818,0.026814899,0.262019111
XRN2,521.17943,-0.741503797,0.421008246,-1.761257183,0.078194883,0.446814976
SPATA7,37.6335033,-1.09709887,1.012022378,-1.084065821,0.278335616,0.720767341
CD164,578.951767,-1.016519247,0.582635779,-1.744690738,0.081038716,0.451719816
NIPSNAP3A,58.12225622,-0.425224976,0.932794884,-0.455861179,0.648489807,0.914323335
ERP27,90.06629831,-1.530208612,0.892696214,-1.714142603,0.086502539,0.463192012
HEXIM1,652.7990065,1.82172569,0.386653834,4.711515908,2.46E-06,0.000250292
ARID5B,1195.625786,-0.591133736,0.445871705,-1.32579334,0.18490816,0.626360116
RPS6KA6,110.5731251,-1.088073171,0.851261294,-1.278189411,0.201182649,0.644421875
LRPPRC,590.5242581,-0.661436685,0.469516586,-1.408761061,0.158905833,0.591192083
MRPL19,234.6608403,-0.618969703,0.556650094,-1.111954726,0.266157617,0.709399605
TSN,117.7198557,-0.780327043,0.819070922,-0.952697773,0.340743222,0.768978695
PHIP,1114.482317,-0.405484551,0.196627349,-2.062198123,0.039188877,0.31782421
